Fichier analysé : netmob_for_awsctd.csv
Total séquences : 7700
Anomalies détectées : 342
Date: 20190501 | Tile: Facebook_DL_Tile_103968.txt | Confiance: 0.9428
Date: 20190512 | Tile: Facebook_DL_Tile_103968.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_103968.txt | Confiance: 0.9336
Date: 20190501 | Tile: Facebook_DL_Tile_10401.txt | Confiance: 0.9243
Date: 20190422 | Tile: Facebook_DL_Tile_10401.txt | Confiance: 0.9652
Date: 20190512 | Tile: Facebook_DL_Tile_10401.txt | Confiance: 0.9986
Date: 20190508 | Tile: Facebook_DL_Tile_10401.txt | Confiance: 0.9309
Date: 20190501 | Tile: Facebook_DL_Tile_104011.txt | Confiance: 0.9856
Date: 20190422 | Tile: Facebook_DL_Tile_104011.txt | Confiance: 0.9746
Date: 20190512 | Tile: Facebook_DL_Tile_104011.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_104011.txt | Confiance: 0.5415
Date: 20190501 | Tile: Facebook_DL_Tile_104031.txt | Confiance: 0.9476
Date: 20190422 | Tile: Facebook_DL_Tile_104031.txt | Confiance: 0.9534
Date: 20190512 | Tile: Facebook_DL_Tile_104031.txt | Confiance: 0.9994
Date: 20190508 | Tile: Facebook_DL_Tile_104031.txt | Confiance: 0.9525
Date: 20190422 | Tile: Facebook_DL_Tile_104315.txt | Confiance: 0.9664
Date: 20190512 | Tile: Facebook_DL_Tile_104315.txt | Confiance: 0.9996
Date: 20190508 | Tile: Facebook_DL_Tile_104315.txt | Confiance: 0.9743
Date: 20190501 | Tile: Facebook_DL_Tile_104550.txt | Confiance: 0.9745
Date: 20190422 | Tile: Facebook_DL_Tile_104550.txt | Confiance: 0.9731
Date: 20190512 | Tile: Facebook_DL_Tile_104550.txt | Confiance: 1.0000
Date: 20190501 | Tile: Facebook_DL_Tile_104568.txt | Confiance: 0.9345
Date: 20190422 | Tile: Facebook_DL_Tile_104568.txt | Confiance: 0.9516
Date: 20190512 | Tile: Facebook_DL_Tile_104568.txt | Confiance: 0.9852
Date: 20190508 | Tile: Facebook_DL_Tile_104568.txt | Confiance: 0.9662
Date: 20190422 | Tile: Facebook_DL_Tile_104575.txt | Confiance: 0.9839
Date: 20190512 | Tile: Facebook_DL_Tile_104575.txt | Confiance: 0.9980
Date: 20190508 | Tile: Facebook_DL_Tile_104575.txt | Confiance: 0.9630
Date: 20190501 | Tile: Facebook_DL_Tile_104871.txt | Confiance: 0.9529
Date: 20190422 | Tile: Facebook_DL_Tile_104871.txt | Confiance: 0.9676
Date: 20190512 | Tile: Facebook_DL_Tile_104871.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_104871.txt | Confiance: 0.9740
Date: 20190422 | Tile: Facebook_DL_Tile_104875.txt | Confiance: 0.9479
Date: 20190512 | Tile: Facebook_DL_Tile_104875.txt | Confiance: 0.9945
Date: 20190508 | Tile: Facebook_DL_Tile_104875.txt | Confiance: 0.9583
Date: 20190512 | Tile: Facebook_DL_Tile_104883.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_104883.txt | Confiance: 0.9254
Date: 20190501 | Tile: Facebook_DL_Tile_105133.txt | Confiance: 0.9528
Date: 20190422 | Tile: Facebook_DL_Tile_105133.txt | Confiance: 0.9199
Date: 20190512 | Tile: Facebook_DL_Tile_105133.txt | Confiance: 0.9701
Date: 20190508 | Tile: Facebook_DL_Tile_105133.txt | Confiance: 0.9626
Date: 20190501 | Tile: Facebook_DL_Tile_105404.txt | Confiance: 0.9779
Date: 20190512 | Tile: Facebook_DL_Tile_105404.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_105404.txt | Confiance: 0.9814
Date: 20190422 | Tile: Facebook_DL_Tile_105422.txt | Confiance: 0.9375
Date: 20190512 | Tile: Facebook_DL_Tile_105422.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_105422.txt | Confiance: 0.9666
Date: 20190501 | Tile: Facebook_DL_Tile_105442.txt | Confiance: 0.9491
Date: 20190422 | Tile: Facebook_DL_Tile_105442.txt | Confiance: 0.9188
Date: 20190512 | Tile: Facebook_DL_Tile_105442.txt | Confiance: 0.9997
Date: 20190508 | Tile: Facebook_DL_Tile_105442.txt | Confiance: 0.9613
Date: 20190501 | Tile: Facebook_DL_Tile_105453.txt | Confiance: 0.9091
Date: 20190512 | Tile: Facebook_DL_Tile_105453.txt | Confiance: 1.0000
Date: 20190422 | Tile: Facebook_DL_Tile_105465.txt | Confiance: 0.9824
Date: 20190512 | Tile: Facebook_DL_Tile_105465.txt | Confiance: 0.9998
Date: 20190508 | Tile: Facebook_DL_Tile_105465.txt | Confiance: 0.9902
Date: 20190512 | Tile: Facebook_DL_Tile_105716.txt | Confiance: 0.9994
Date: 20190508 | Tile: Facebook_DL_Tile_105716.txt | Confiance: 0.9735
Date: 20190501 | Tile: Facebook_DL_Tile_105727.txt | Confiance: 0.9503
Date: 20190422 | Tile: Facebook_DL_Tile_105727.txt | Confiance: 0.9536
Date: 20190512 | Tile: Facebook_DL_Tile_105727.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_105727.txt | Confiance: 0.9670
Date: 20190501 | Tile: Facebook_DL_Tile_105742.txt | Confiance: 0.9363
Date: 20190512 | Tile: Facebook_DL_Tile_105742.txt | Confiance: 1.0000
Date: 20190508 | Tile: Facebook_DL_Tile_105742.txt | Confiance: 0.9394
Date: 20190422 | Tile: Facebook_DL_Tile_105744.txt | Confiance: 0.9596
Date: 20190512 | Tile: Facebook_DL_Tile_105744.txt | Confiance: 0.9999
Date: 20190501 | Tile: Facebook_DL_Tile_105745.txt | Confiance: 0.9610
Date: 20190422 | Tile: Facebook_DL_Tile_105745.txt | Confiance: 0.9506
Date: 20190512 | Tile: Facebook_DL_Tile_105745.txt | Confiance: 0.9999
Date: 20190508 | Tile: Facebook_DL_Tile_105745.txt | Confiance: 0.9475
Date: 20190501 | Tile: Facebook_DL_Tile_105978.txt | Confiance: 0.9783
